-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Observed  |            Ritz    |      Rel. |    Aki    | Acc. |       Ei           Ek       |                Lower level                |                Upper level                 |Type|    TP  |    Line  |
         Wavelength |         Wavelength |      Int. |    s^-1   |      |     (cm-1)       (cm-1)     |-------------------------------------------|--------------------------------------------|    |   Ref. |    Ref.  |
          Air  (Å)  |          Air  (Å)  |      (?)  |           |      |                             | Conf.     | Term                   | J    | Conf.     | Term                    | J    |    |        |          |
          3789.727  |          3789.732  |         5 | 7.5e+05   |      | 121753.739   -  148133.339  | 5d9.6s.6p | (2D<3/2>,1P<1>)*       | 1/2  | 5d9.6s.6d | [(2D<5/2>,1/2)<2>,3/2]  | 1/2  |    |  T7226 |  L11760  |
          3797.326  |          3797.3228 |     6000c | 7.6e+05   |      | 108975.732   -  135302.600  | 5d9.6s.6p | (2D<5/2>,1P<1>)*       | 5/2  | 5d9.6s.7s | [(2D<5/2>,1/2)<3>,1/2]  | 7/2  |    |  T7226 |  L11760  |
          3806.312  |          3806.3154 |     50000 | 3.2e+07   |      | 108298.183   -  134562.854  | 5d10.7p   | 2P*                    | 1/2  | 5d10.8d   | 2D                      | 3/2  |    |  T7226 |  L11760  |
          3828.909  |          3828.9121 |      1000 | 1.5e+06   |      | 110604.447   -  136714.118  | 5d9.6s.6p | (2D<3/2>,3P<2>)*       | 7/2  | 5d9.6s.7s | [(2D<5/2>,1/2)<3>,1/2]  | 5/2  |    |  T7226 |  L11760  |
          3839.259  |          3839.255  |     10000 | 4.7e+06   |      |  95714.406   -  121753.739  | 5d10.7s   | 2S                     | 1/2  | 5d9.6s.6p | (2D<3/2>,1P<1>)*        | 1/2  |    |  T7226 |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          3883.183  |                    |       200 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          3909.320  |                    |       400 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          3913.367  |                    |        75 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          3914.313  |          3914.3142 |      5000 | 3.7e+06   |      | 111174.092   -  136714.118  | 5d9.6s.6p | (2D<3/2>,3P<2>)*       | 5/2  | 5d9.6s.7s | [(2D<5/2>,1/2)<3>,1/2]  | 5/2  |    |  T7226 |  L11760  |
          3919.264  |          3919.257  |      500D | 1.1e+07   |      | 109191.648   -  134699.466  | 5d9.6s.6p | (2D<3/2>,3P<2>)*       | 3/2  | 5d10.8d   | 2D                      | 5/2  |    |  T7226 |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          3940.369  |          3940.361  |       15G | 1.9e+06   |      | 109191.648   -  134562.854  | 5d9.6s.6p | (2D<3/2>,3P<2>)*       | 3/2  | 5d10.8d   | 2D                      | 3/2  |    |  T7226 |  L11760  |
          3945.673  |                    |        30 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          3946.281  |                    |        75 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          3956.319  |                    |        60 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          3974.402  |                    |       500 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          3983.9312 |          3983.9312 | 10000000c | 3.2e+06   |      |  35514.624   -   60608.362  | 5d9.6s2   | 2D                     | 5/2  | 5d10.6p   | 2P*                     | 3/2  |    |  T7226 |  L11760  |
          4026.201  |                    |       15G |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          4040.457  |          4040.4620 |     4000c | 9.0e+06   |      | 111971.464   -  136714.118  | 5d10.7p   | 2P*                    | 3/2  | 5d9.6s.7s | [(2D<5/2>,1/2)<3>,1/2]  | 5/2  |    |  T7226 |  L11760  |
          4040.576  |                    |       500 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          4047.740  |          4047.742  |        50 | 3.0e+05   |      | 110604.447   -  135302.600  | 5d9.6s.6p | (2D<3/2>,3P<2>)*       | 7/2  | 5d9.6s.7s | [(2D<5/2>,1/2)<3>,1/2]  | 7/2  |    |  T7226 |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          4120.440  |          4120.4469 |      4000 | 1.2e+07   |      | 108298.183   -  132560.550  | 5d10.7p   | 2P*                    | 1/2  | 5d10.9s   | 2S                      | 1/2  |    |  T7226 |  L11760  |
          4276.224  |                    |       100 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          4277.995  |          4277.987  |      100w | 8.0e+06   |      | 109191.648   -  132560.550  | 5d9.6s.6p | (2D<3/2>,3P<2>)*       | 3/2  | 5d10.9s   | 2S                      | 1/2  |    |  T7226 |  L11760  |
          4337.097  |          4337.0878 |      100c | 4.0e+04   |      | 110604.447   -  133654.913  | 5d9.6s.6p | (2D<3/2>,3P<2>)*       | 7/2  | 5d10.5g   | 2G                      | 7/2  |    |  T7226 |  L11760  |
          4337.097  |          4337.0942 |      100c | 1.1e+06   |      | 110604.447   -  133654.879  | 5d9.6s.6p | (2D<3/2>,3P<2>)*       | 7/2  | 5d10.5g   | 2G                      | 9/2  |    |  T7226 |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          4382.549  |          4382.5527 |      300u | 8.5e+04   |      | 104984.138   -  127795.481  | 5d10.6d   | 2D                     | 3/2  | 5d10.8p   | 2P*                     | 3/2  |    |  T7226 |  L11760  |
          4398.617  |          4398.623  |     40000 | 9.0e+06   |      | 111971.464   -  134699.466  | 5d10.7p   | 2P*                    | 3/2  | 5d10.8d   | 2D                      | 5/2  |    |  T7226 |  L11760  |
          4404.854  |          4404.854+ |        2h | 4.5e+06   |      | 123153.775   -  145849.628  | 5d10.5f   | 2F*                    | 7/2  | 5d10.9g   | 2G                      | 9/2  |    |  T7226 |  L11760  |
          4425.220  |          4425.2225 |     3300h | 1.3e+06   |      | 111971.464   -  134562.854  | 5d10.7p   | 2P*                    | 3/2  | 5d10.8d   | 2D                      | 3/2  |    |  T7226 |  L11760  |
          4454.395  |          4454.390  |      200h | 6.5e+06   |      | 121960.399   -  144403.864  | 5d9.6s.6p | (2D<3/2>,1P<1>)*       | 5/2  | 5d10.8g   | 2G                      | 7/2  |    |  T7226 |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          4455.486  |          4455.486+ |       70h | 2.1e+06   |      | 123411.351   -  145849.294  | 5d10.5f   | 2F*                    | 5/2  | 5d10.9g   | 2G                      | 7/2  |    |  T7226 |  L11760  |
          4459.053  |                    |      150h |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          4463.878  |          4463.878  |      700c | 8.0e+04   |      | 103183.874   -  125579.636  | 5d9.6s.6p | (2D<3/2>,3P<1>)*       | 3/2  | 5d10.7d   | 2D                      | 5/2  |    |  T7226 |  L11760  |
          4491.552  |                    |      2000 |           |      |                             |           |                        |      |           |                         |      |    |        |  L11760  |
          4492.831  |          4492.8310 |      2800 | 7.5e+05   |      | 105544.042   -  127795.481  | 5d10.6d   | 2D                     | 5/2  | 5d10.8p   | 2P*                     | 3/2  |    |  T7226 |  L11760  |
                    |                    |           |           |      |                             |           |                        |      |           |                         |      |    |        |          |
          4657.320  |          4657.3159 |       60h |           |      | 123153.775   -  144619.360  | 5d10.5f   | 2F*                    | 7/2  | 5d9.6s.6d | [(2D<5/2>,1/2)<3>,3/2]  | 9/2  |    |        |  L11760  |
          4660.219  |          4660.2156 |     30000 | 1.0e+07   |      | 103873.302   -  125325.531  | 5d9.6s.6p | (2D<3/2>,3P<1>)*       | 1/2  | 5d10.7d   | 2D                      | 3/2  |    |  T7226 |  L11760  |
