----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          Observed  |            Ritz    |  Rel. |    Aki    | Acc. |        Ei           Ek        |              Lower level              |              Upper level               |Type|                  TP  |   Line  |
         Wavelength |         Wavelength |  Int. |    s^-1   |      |      (cm-1)       (cm-1)      |---------------------------------------|----------------------------------------|    |                 Ref. |   Ref.  |
          Air  (Å)  |          Air  (Å)  |  (?)  |           |      |                               | Conf.                 | Term    | J   | Conf.                  | Term    | J   |    |                      |         |
           4522.323 |           4522.323 |    20 | 8.98e+04  | C    |  94553.6652   -  116659.9934  | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 0   | 3s2.3p5.(2P*<3/2>).5p  | 2[1/2]  | 1   |    | T1419n,T1218n,T1164n |  L2634  |
                    |                    |       |           |      |                               |                       |         |     |                        |         |     |    |                      |         |
                    |           4544.746 |       | 8.3e+04   | E    | 104102.0990   -  126099.36    | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).11d | 2[1/2]* | 1   |    |               T1164n |         |
                    |           4554.324 |       | 3.8e+04   | E    | 104102.0990   -  126053.10    | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<1/2>).7d  | 2[3/2]* | 2   |    |               T1164n |         |
                    |           4584.956 |       | 1.6e+05   | E    | 104102.0990   -  125906.45    | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).10d | 2[3/2]* | 2   |    |               T1164n |         |
                    |           4586.611 |       | 2.3e+05   | E    | 104102.0990   -  125898.58    | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).10d | 2[1/2]* | 1   |    |               T1164n |         |
                    |           4587.209 |       | 4.9e+05   | E    | 104102.0990   -  125895.74    | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).10d | 2[1/2]* | 0   |    |               T1164n |         |
                    |                    |       |           |      |                               |                       |         |     |                        |         |     |    |                      |         |
                    |           4589.289 |       | 6.2e+03   | D    |  95399.8276   -  117183.5901  | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1   | 3s2.3p5.(2P*<3/2>).5p  | 2[3/2]  | 2   |    | T1419n,T1218n,T1164n |         |
           4596.097 |           4596.097 |    15 | 9.47e+04  | C    |  95399.8276   -  117151.3264  | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1   | 3s2.3p5.(2P*<3/2>).5p  | 2[3/2]  | 1   |    | T1419n,T1218n,T1164n |  L2634  |
