---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |             Ritz    |   Rel. |    Aki    | Acc. |        Ei           Ek        |              Lower level              |              Upper level               |Type|        TP  |   Line  |
          Wavelength |          Wavelength |   Int. |    s^-1   |      |      (cm-1)       (cm-1)      |---------------------------------------|----------------------------------------|    |       Ref. |   Ref.  |
           Air  (Å)  |           Air  (Å)  |   (?)  |           |      |                               | Conf.                 | Term    | J   | Conf.                  | Term    | J   |    |            |         |
           4064.036  |           4064.02+  |    500 |           |      | 148257.7898   -  172857.00    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<1/2>).9s  | 2[1/2]* | 1   |    |            |  L3469  |
           4064.829  |           4064.83+  |    150 |           |      | 148257.7898   -  172852.13    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<1/2>).9s  | 2[1/2]* | 0   |    |            |  L3469  |
           4068.835  |           4068.83+  |    300 |           |      | 148257.7898   -  172827.93    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).10d | 2[3/2]* | 2   |    |            |  L3469  |
           4069.243  |           4069.23+  |    300 |           |      | 148257.7898   -  172825.54    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).10d | 2[1/2]* | 1   |    |            |  L3469  |
                     |                     |        |           |      |                               |                       |         |     |                        |         |     |    |            |         |
           4069.389  |           4069.39+  |     50 |           |      | 148257.7898   -  172824.57    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).10d | 2[1/2]* | 0   |    |            |  L3469  |
           4079.359  |           4079.35+  |     20 |           |      | 148257.7898   -  172764.60    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).11s | 2[3/2]* | 1   |    |            |  L3469  |
           4080.148  |           4080.14+  |    500 |           |      | 148257.7898   -  172759.82    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).11s | 2[3/2]* | 2   |    |            |  L3469  |
           4111.882  |           4111.86+  |     10 |           |      | 148257.7898   -  172570.83    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).9d  | 2[3/2]* | 1   |    |            |  L3469  |
           4112.100  |           4112.10+  |    150 |           |      | 148257.7898   -  172569.40    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).9d  | 2[3/2]* | 2   |    |            |  L3469  |
                     |                     |        |           |      |                               |                       |         |     |                        |         |     |    |            |         |
           4112.694  |           4112.69+  |    200 |           |      | 148257.7898   -  172565.93    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).9d  | 2[1/2]* | 1   |    |            |  L3469  |
           4112.865  |           4112.87+  |    100 |           |      | 148257.7898   -  172564.88    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).9d  | 2[1/2]* | 0   |    |            |  L3469  |
           4126.941  |           4126.9650+|     20 |           |      | 148257.7898   -  172481.8376  | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).10s | 2[3/2]* | 1   |    |            |  L3469  |
           4128.072  |           4128.076+ |    300 |           |      | 148257.7898   -  172475.321   | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).10s | 2[3/2]* | 2   |    |            |  L3469  |
           4130.512  |           4130.524+ |    200 |           |      | 148257.7898   -  172460.966   | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<1/2>).7d  | 2[3/2]* | 1   |    |            |  L3469  |
                     |                     |        |           |      |                               |                       |         |     |                        |         |     |    |            |         |
           4131.0613 |           4131.060+ |    700 |           |      | 148257.7898   -  172457.823   | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<1/2>).7d  | 2[3/2]* | 2   |    |            |  L4498  |
           4164.8079 |           4164.807+ |    500 |           |      | 148257.7898   -  172261.741   | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<1/2>).8s  | 2[1/2]* | 1   |    |            |  L4498  |
           4166.091  |           4166.099+ |    300 |           |      | 148257.7898   -  172254.295   | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<1/2>).8s  | 2[1/2]* | 0   |    |            |  L3469  |
           4173.966  |           4173.95+  |     20 |           |      | 148257.7898   -  172209.15    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).8d  | 2[3/2]* | 1   |    |            |  L3469  |
           4174.3667 |           4174.367+ |    700 |           |      | 148257.7898   -  172206.770   | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).8d  | 2[3/2]* | 2   |    |            |  L4498  |
                     |                     |        |           |      |                               |                       |         |     |                        |         |     |    |            |         |
           4175.2197 |           4175.219+ |    600 |           |      | 148257.7898   -  172201.878   | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).8d  | 2[1/2]* | 1   |    |            |  L4498  |
           4175.488  |           4175.49+  |    400 |           |      | 148257.7898   -  172200.33    | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).8d  | 2[1/2]* | 0   |    |            |  L3469  |
           4196.415  |           4196.420+ |    150 |           |      | 148257.7898   -  172080.915   | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).9s  | 2[3/2]* | 1   |    |            |  L3469  |
           4198.1018 |           4198.098+ |    700 |           |      | 148257.7898   -  172071.389   | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).9s  | 2[3/2]* | 2   |    |            |  L4498  |
           4203.270  |           4203.27+  |    20* |           |      | 149824.2215   -  173608.54    | 2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2   | 2s2.2p5.(2P*<1/2>).10d | 2[5/2]* | 3   |    |            |  L3469  |
                     |                     |        |           |      |                               |                       |         |     |                        |         |     |    |            |         |
           4203.270  |           4203.27+  |    20* |           |      | 149824.2215   -  173608.51    | 2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2   | 2s2.2p5.(2P*<1/2>).10d | 2[3/2]* | 2   |    |            |  L3469  |
           4203.270  |           4203.27+  |    20* |           |      | 149824.2215   -  173608.51    | 2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2   | 2s2.2p5.(2P*<1/2>).10d | 2[5/2]* | 2   |    |            |  L3469  |
           4232.323  |           4232.32+  |     10 |           |      | 149657.0392   -  173278.07    | 2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3   | 2s2.2p5.(2P*<3/2>).13d | 2[7/2]* | 4   |    |            |  L3469  |
           4249.538  |           4249.55+  |     20 |           |      | 149824.2215   -  173349.52    | 2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2   | 2s2.2p5.(2P*<1/2>).9d  | 2[5/2]* | 3   |    |            |  L3469  |
