-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                    Observed  |                      Ritz    |    Rel. |     Aki    | Acc. |             Ei           Ek             |     Lower level     |     Upper level     |Type|    TP  |      Line  |
                   Wavelength |                   Wavelength |    Int. |     s^-1   |      |           (cm-1)       (cm-1)           |---------------------|---------------------|    |   Ref. |      Ref.  |
                    Air  (Å)  |                    Air  (Å)  |    (?)  |            |      |                                         | Conf.  | Term | J   | Conf.  | Term | J   |    |        |            |
                              |                4340.494419   |         | 9.4254e+06 | AAA  | 82259.2850014      - [105291.659796]    | 2p     | 2P*  | 3/2 | 5d     | 2D   | 5/2 |    |  T8637 |            |
                              |                4340.4947     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c62  |
                              |                4340.495889   |         | 1.5709e+06 | AAA  | 82259.2850014      -  105291.651993     | 2p     | 2P*  | 3/2 | 5d     | 2D   | 3/2 |    |  T8637 |            |
                              |                4340.499856   |         | 8.5920e+05 | AAA  | 82259.2850014      - [105291.63094]     | 2p     | 2P*  | 3/2 | 5s     | 2S   | 1/2 |    |  T8637 |            |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                              |                4861.2786238  |         | 1.7188e+07 | AAA  | 82258.9191133      -  102823.894250     | 2p     | 2P*  | 1/2 | 4d     | 2D   | 3/2 |    |  T8637 |            |
                4861.28336326 |                4861.28336324 |         |            |      | 82258.9543992821   -  102823.9094871    | 2s     | 2S   | 1/2 | 4d     | 2D   | 5/2 | E2 |        |     L9496  |
                              |                4861.2841     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c63  |
                4861.28694917 |                4861.28694918 |         | 9.6680e+06 | AAA  | 82258.9543992821   -  102823.8943175    | 2s     | 2S   | 1/2 | 4p     | 2P*  | 3/2 |    |  T8637 |     L9477  |
                              |                4861.28836998 |         | 8.5941e+05 | AAA  | 82258.9191133      -  102823.8530211    | 2p     | 2P*  | 1/2 | 4s     | 2S   | 1/2 |    |  T8637 |            |
                              |                              |         |            |      |                                         |        |      |     |        |      |     |    |        |            |
                4861.29671127 |                4861.29671127 |         |            |      | 82258.9543992821   -  102823.8530211    | 2s     | 2S   | 1/2 | 4s     | 2S   | 1/2 | M1 |        |     L9496  |
                4861.29776054 |                4861.29776053 |         | 9.6683e+06 | AAA  | 82258.9543992821   -  102823.8485825    | 2s     | 2S   | 1/2 | 4p     | 2P*  | 1/2 |    |  T8637 |     L9477  |
                              |                4861.3250     |         |            |      |                                         |        |      |     |        |      |     |    |        |       c64  |
