--- GHOST SPOTS (Python Only) ---
Fiber,Wavelength,X,Y
134,8378.661,1156.9818418189802,1536.3598579598793
134,8379.9093,1156.9870189414514,1538.3747873732443
134,8419.4727,1157.140007113095,1602.3035177458742
134,8420.7398,1157.144544114546,1604.3531726659012
134,8681.8775,1157.5436379274743,2030.0019689104433
134,8684.3062,1157.542008017645,2033.993772768973
134,8774.0664,1157.4094956081053,2182.004982850734
134,8783.0336,1157.3885101141138,2196.8448431707675
134,8786.166,1157.3808482830973,2202.0310237045196
134,8868.1905,1157.1195747015433,2338.283037721043
134,9222.59,1154.7736081024395,2938.189480320061
134,9224.1108,1154.760008233301,2940.8071088569604
134,9375.8796,1153.3059102871434,3204.045320682794
134,8776.46,1157.4040315506354,2185.96518678855
134,8779.1607,1157.3977461471727,2190.434338791632
134,8931.1447,1156.8412166887372,2443.468785208671
134,8864.75,1157.1328620548468,2332.5502123875735
134,8933.282,1156.8306099231681,2447.0495761008424
134,9377.33,1153.2912933656855,3206.5804375922908
135,7516.721,1158.6867669584399,172.64870301037013
135,8670.325,1164.7977165692425,2010.5842219155595
135,9227.03,1162.003786378542,2945.3423152348387
135,9787.186,1156.5899883297998,3936.8651502568273
135,7490.9335,1158.5714090486413,132.8109735405717
135,8378.661,1164.2351740635822,1535.9506514237446
135,8379.9093,1164.2403227385093,1537.9654600730296
135,8419.4727,1164.3923884619185,1601.890291614213
135,8420.7398,1164.3968954614584,1603.939819609939
135,8681.8775,1164.7912926458728,2029.5616226239065
135,8684.3062,1164.7896495752607,2033.5531798115999
135,8774.0664,1164.6572902983016,2181.5554608427065
135,8783.0336,1164.6363939542337,2196.394450567706
135,8786.166,1164.6287666269427,2201.5803279325232
135,8868.1905,1164.3690393008771,2337.8245731647266
135,9222.59,1162.043206908777,2937.6994009073524
135,9224.1108,1162.029726568353,2940.316893357164
135,9375.8796,1160.5875798159718,3203.5415358258897
135,8776.46,1164.6518486483915,2185.5154320016427
135,8779.1607,1164.6455897396213,2189.9843217032635
135,8931.1447,1164.0927344032996,2443.0045577760898
135,9354.8,1160.7972623977619,3166.7407566228385
135,8864.75,1164.3822363357012,2332.09206739075
135,8933.282,1164.082210630694,2446.585155551431
135,9377.33,1160.5730717636852,3206.076525673425
136,8670.325,1172.0874231028517,2010.1268700439266
